source_file,line,source_ref,name,market,country,category,domain,phone,website,email,contact_page,instagram,facebook,whatsapp,portfolio_url,fit_tier,live_status,kind
delta-github-run-31858542247-031.jsonl,1,atp:a434da5dc7dff353edb19179,Natur- und Wellnesshotel Höflehner,Haus im Ennstal,Austria,hotel,hoeflehner.com,+43 676 3621179,https://hoeflehner.com,info@hoeflehner.com,,https://www.instagram.com/hotelhoeflehner/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,2,atp:535ffbdd051ac3c0d5993659,Aktivhotel Alpendorf,St. Johann im Pongau,Austria,hotel,hotel-alpendorf.at,+43 676 3621179,https://hotel-alpendorf.at,info@hotel-alpendorf.at,,https://www.instagram.com/aktivhotel_alpendorf/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,3,osm:node:268114263,Capitole,monaco,Monaco,hotel,hotel-capitole.fr,+33 4 93 28 65 65,http://www.hotel-capitole.fr,info@hotel-capitole.fr,,https://www.instagram.com/hotelcapitole/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,4,atp:3eb3e30d5b63c2dd872fdf9c,Active Hotel Diana,Seis am Schlern,Italy,hotel,hotel-diana.it,+43 676 3621179,https://hotel-diana.it,info@hotel-diana.it,,,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,5,atp:d8e785bc4abfdaad61d6534c,Hotel Gassner**** Superior,Neukirchen am Großvenediger,Austria,hotel,hotel-gassner.at,+43 676 3621179,https://hotel-gassner.at,info@hotel-gassner.at,,https://www.instagram.com/hotel.gassner/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,6,atp:ab4865dc5994bc6bcbadc3dd,Hotel Interski,St. Christina,Italy,hotel,hotel-interski.com,+43 676 3621179,https://hotel-interski.com,info@hotel-interski.com,,,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,7,atp:be054402bacd125f24773a62,Naturhotel Outside,Matrei in Osttirol,Austria,hotel,hotel-outside.at,+43 676 3621179,https://hotel-outside.at,office@hotel-outside.at,,https://www.instagram.com/naturhoteloutside/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,8,atp:37ba14c66c2b2bcc6082ac11,Aktivhotel Panorama,Gossensass,Italy,hotel,hotel-panorama.it,+43 676 3621179,https://hotel-panorama.it,info@hotel-panorama.it,,https://www.instagram.com/aktivhotel_panorama/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,9,atp:5d6521add50f20be153212dc,Hotel Wieser,Freienfeld,Italy,hotel,hotel-wieser.it,+43 676 3621179,https://hotel-wieser.it,info@hotel-wieser.it,,https://www.instagram.com/hotel.wieser/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,10,atp:7cd3222196bdc81c87f7c7d8,Hotel Zirmerhof,Riffian bei Meran,Italy,hotel,hotel-zirmerhof.com,+43 676 3621179,https://hotel-zirmerhof.com,info@hotel-zirmerhof.com,,https://www.instagram.com/hotelzirmerhof/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,11,osm:node:273251096,Villa Boeri,monaco,Monaco,hotel,hotelboeri.com,+33 4 93 78 38 10,http://www.hotelboeri.com,contact@hotelboeri.com,,,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,12,atp:7fb36b4c33d12cda3cedc1c6,Hotel Marica,Eggen,Italy,hotel,hotelmarica.it,+43 676 3621179,https://hotelmarica.it,info@hotelmarica.it,,https://www.instagram.com/hotelmarica/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,13,osm:node:10025852088,Miramar,monaco,Monaco,hotel,hotelmiramar.mc,+37792002100,https://www.hotelmiramar.mc/,info@hotelmiramar.mc,,https://www.instagram.com/hotelmiramarmc/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,14,atp:c598be3212efce6a5a7528c4,Hotel Sonnalp,Kirchberg in Tirol,Austria,hotel,hotelsonnalp.at,+43 676 3621179,https://hotelsonnalp.at,info@hotelsonnalp.at,,https://www.instagram.com/hotel_sonnalp_kirchberg/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,15,overture:79e9c222-e4fe-419a-bd31-695f39ee1d6e,Intrigue Property Management,Indianapolis,USA,property_management,intriguepm.com,+13175939133,https://www.intriguepm.com/,ryan@intriguepm.com,,https://www.instagram.com/intriguepm/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,16,atp:12026a752998247538651bf3,Ski- & Wanderhotel Jägeralpe,Warth am Arlberg,Austria,hotel,jaegeralpe.at,+43 676 3621179,https://jaegeralpe.at,hotel@jaegeralpe.at,,https://www.instagram.com/jaegeralpe/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,17,atp:1257c827033b816858f254cd,Hotel Jägerhof Zams,6511,Austria,hotel,jaegerhof-zams.at,+43 676 3621179,https://jaegerhof-zams.at,info@jaegerhof-zams.at,,https://www.instagram.com/hoteljaegerhofzams/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,18,atp:9395a8b865a413cb09ed8314,Wanderhotel Jaufentalerhof,Ratschings,Italy,hotel,jaufentalerhof.com,+43 676 3621179,https://jaufentalerhof.com,info@jaufentalerhof.com,,https://www.instagram.com/hotel_jaufentalerhof/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,19,overture:9e3c740b-7f41-4f38-aa31-3abc81bc9373,Kozy Haven Log Cabin Rentals,Columbia,USA,cabin,kozyhaven.com,+12703801997,http://www.kozyhaven.com/,kozyhavencabins@gmail.com,,https://www.instagram.com/kozy_haven_cabins/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,20,atp:24098d9d182ecb2b0ec1546c,Verwöhnhotel Kristall,Pertisau am Achensee,Austria,hotel,kristall-pertisau.at,+43 676 3621179,https://kristall-pertisau.at,info@kristall-pertisau.at,,https://www.instagram.com/verwoehnhotel_kristall/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,21,overture:0d95d7f7-d91f-43bb-9415-c7fb30a2e31e,KY Dam Village State Resort Park,Gilbertsville,USA,hotel,ky.gov,+12703624271,https://parks.ky.gov/explore/kentucky-dam-village-state-resort-park-7793,kentuckydamvillage@ky.gov,,https://www.instagram.com/kystateparks/,,,,B,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,22,overture:5ca0d41a-dcd6-4e79-9847-653a94372dfc,Conference Center at Fairfield,Crossville,USA,hotel,laketansipoa.com,+19317886721,http://www.laketansipoa.com,info@laketansipoa.com,,,,,,B,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,23,atp:ad068e5fe884a356ff1dfa45,Naturhotel Landhof Irschen,Irschen,Austria,hotel,landhof-irschen.at,+43 676 3621179,https://landhof-irschen.at,info@landhof-irschen.at,,https://www.instagram.com/landhofirschen/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,24,atp:be3203536517959873f88d80,Naturhotel Leitlhof,Innichen,Italy,hotel,leitlhof.com,+43 676 3621179,https://leitlhof.com,info@leitlhof.com,,https://www.instagram.com/naturhotel_leitlhof/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,25,atp:a03b20935d31566a2567a0fe,Biohotel Leutascherhof,Leutasch,Austria,hotel,leutascherhof.at,+43 676 3621179,https://leutascherhof.at,info@leutascherhof.at,,https://www.instagram.com/leutascherhof_biohotel/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,26,atp:7be025afd2d5480f99983adc,Wanderhotel Lumberger Hof,Grän,Austria,hotel,lumbergerhof.at,+43 676 3621179,https://lumbergerhof.at,hotel@lumbergerhof.at,,https://www.instagram.com/lumbergerhof/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,27,overture:39e6f2ef-ea3d-445f-b400-8be0517d01e1,Mammoth Cave Cabin Rentals,World-Atlas::usa-mexico-caribbean-premium::19-18,USA,cabin,mammothcavestay.com,+15026282383,https://mammothcavestay.com/,info@mammothcavestay.com,,,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,28,overture:212f682d-d9ab-46c9-876c-61335d23c356,Mariner's Village,Carlyle,USA,resort,marinersvillagecarlylelake.com,+16185947666,http://www.marinersvillagecarlylelake.com/,carlyleresort@gmail.com,,,,,,B,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,29,overture:69ad0ba1-8ab1-47b2-b24f-c14e8a01a6c5,Marion Short Stays,Marion,USA,holiday_rental_home,marionshortstays.com,+16189254380,http://www.Marionshortstays.com/,rentfromgm@gmail.com,,https://www.instagram.com/marionshortstays/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,30,osm:node:267885777,Metropole,Monaco,Monaco,hotel,metropole.com,+377 93 15 15 15,https://www.metropole.com/,metropole@metropole.com,,https://www.instagram.com/metropolemonaco/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,31,overture:6ac57ad1-2c4c-40eb-8999-43aff4e508d2,Lake and Lodge Vacation Rentals,Bloomington,USA,cabin,moondancevacationhomes.com,+18129886554,https://moondancevacationhomes.com/vacation-rentals/5-crimson-pines/,moondancevr@gmail.com,,,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,32,atp:7db54f8882f18fdb418e5f5d,Excelsior Dolomites Life Resort,St. Vigil in Enneberg,Italy,hotel,myexcelsior.com,+43 676 3621179,https://myexcelsior.com,info@myexcelsior.com,,https://www.instagram.com/excelsior_dolomites_resort/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,33,atp:446770465e7ba50eef0ea0a8,Naturel Dorf Schönleitn,Latschach/Oberaichwald,Austria,hotel,naturelhotels.com,+43 676 3621179,https://naturelhotels.com,info@naturelhotels.com,,https://www.instagram.com/naturelhotels/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,34,overture:df4e6062-b837-49bb-8e22-b11d94bd89c1,Pickwick Cabin Rentals,Counce,USA,holiday_rental_home,pickwickcabins.com,(731) 689-0400,http://www.pickwickcabins.com,rentacabin1@gmail.com,,,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,35,atp:1e4753f84475344044431ac8,Der Pongauerhof,Flachau,Austria,hotel,pongauerhof.at,+43 676 3621179,https://pongauerhof.at,hotel@pongauerhof.at,,https://www.instagram.com/derpongauerhof_flachau/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,36,atp:2c601b6043fba7e29610e999,Relax- & Wanderhotel Poppengut,Hinterstoder,Austria,hotel,poppengut.at,+43 676 3621179,https://poppengut.at,info@poppengut.at,,https://www.instagram.com/poppengut/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,37,atp:98a6390df9395b5cd8d276da,Hotel Posta Zirm,Corvara in Badia,Italy,hotel,postazirm.com,+43 676 3621179,https://postazirm.com,info@postazirm.com,,https://www.instagram.com/postazirmhotel/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,38,overture:92df22db-fc71-4560-b22e-45fecdbc8a04,Premier Property Management - Scottsburg,Scottsburg,USA,historic_site,premierpropmanagement.com,+18128324042,http://www.premierpropmanagement.com/,scottsburgpm@premierpropmanagement.com,,https://www.instagram.com/premier.prop.management/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,39,atp:c3f2f60665680bbb7606d409,Rainell Dolomites Retreat,St. Ulrich in Gröden,Italy,hotel,rainell.com,+43 676 3621179,https://rainell.com,info@rainell.com,,https://www.instagram.com/rainell.dolomitesretreat/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,40,overture:d489ac8d-e5c5-492a-abd9-7d979e3a16ef,Riverbend Ranch and Retreat,Normandy,USA,resort,riverbendranchtn.com,+19318574000,https://riverbendranchtn.com/,darren@riverbendranchtn.com,,https://www.instagram.com/riverbendranchtn/,,,,B,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,41,overture:8c0822d2-1ada-4784-8f48-cddcbfc96390,Rockhaven Cabin Rentals,Mt Juliet,USA,cabin,rockhavencabins.com,+16154705530,http://www.rockhavencabins.com/,info@rockhavencabins.com,,,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,42,atp:d40466a45761390635d263db,Hotel-Gasthof Rosengarten,Baiersbronn,Germany,hotel,rosengarten-baiersbronn.de,+43 676 3621179,https://rosengarten-baiersbronn.de,info@rosengarten-baiersbronn.de,,https://www.instagram.com/wanderkoch2018/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,43,overture:c01d3638-b25b-4abf-8665-69842f7efe9c,Southern Illinois Vacation Rentals,Marion,USA,holiday_rental_home,sivr.rentals,+16182025247,http://www.sivr.rentals/,hello@sivr.rentals,,,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,44,overture:46965384-5f65-4252-93a8-8971192cb47e,Stay Local Nashville Vacation Rentals,Nashville,USA,holiday_rental_home,staylocalnashville.com,+16154478291,http://www.staylocalnashville.com/,info@staylocalnashville.com,,https://www.instagram.com/staylocalnashville/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,45,atp:a5ea21019ec80a2cd971972c,Ski- & Wanderhotel Steffner-Wallner,Mauterndorf,Austria,hotel,steffner-wallner.at,+43 676 3621179,https://steffner-wallner.at,info@steffner-wallner.at,,https://www.instagram.com/hotel_steffnerwallner/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,46,atp:02d81e8bec7b7cb4a24483d3,Tauber's Bio Vitalhotel,St. Sigmund/Kiens,Italy,hotel,taubers-vitalhotel.com,+43 676 3621179,https://taubers-vitalhotel.com,info@taubers-vitalhotel.com,,https://www.instagram.com/taubersbiovital_hotel/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,47,atp:2f09e91893203a13b6d808b8,Wanderhotel Taurerwirt,Kals am Großglockner,Austria,hotel,taurerwirt.at,+43 676 3621179,https://taurerwirt.at,info@taurerwirt.at,,https://www.instagram.com/taurerwirt/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,48,overture:3f746919-333f-4ef3-9270-f4b91f8b0d54,The Dwelling Place Rest and Retreat Center,White Bluff,USA,resort,thedwellingplacear.com,+16153265137,https://www.thedwellingplacear.com/,thedwellingplacear@outlook.com,,,,,,B,MEDIUM,canonical_delta
delta-github-run-31858542247-031.jsonl,49,overture:69fd2591-8bab-4665-ae8f-ecd06d733eeb,The Luxury Collection,Nashville,USA,hotel,thejosephnashville.com,+16152481990,https://www.thejosephnashville.com/,info@thejosephnashville.com,,https://www.instagram.com/thejosephnashville/,,,,B,HIGH,canonical_delta
delta-github-run-31858542247-031.jsonl,50,atp:d2e41aca6397240da1edac9b,Tonzhaus,Schnalstal,Italy,hotel,tonzhaus.com,+43 676 3621179,https://tonzhaus.com,info@tonzhaus.com,,https://www.instagram.com/tonzhaus/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-032.jsonl,1,atp:d180e00dda84b248cfdb943a,Wanderhotel Traube Post,Graun,Italy,hotel,traube-post.it,+43 676 3621179,https://traube-post.it,info@traube-post.it,,https://www.instagram.com/traube_post_hotel/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-032.jsonl,2,atp:aaa5740d985c17a5d499c67f,Hotel Trenker,Prags,Italy,hotel,trenker.it,+43 676 3621179,https://trenker.it,info@trenker.it,,https://www.instagram.com/hoteltrenker/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-032.jsonl,3,atp:777d33f923856e344bd38a56,Natur- und Wanderhotel Tuxertal,Tux,Austria,hotel,tuxertal.at,+43 676 3621179,https://tuxertal.at,info@tuxertal.at,,https://www.instagram.com/hoteltuxertal/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-032.jsonl,4,atp:05ea83fb0912b05c93504e6b,Natur pur Hotel Unterpichl,St. Walburg/Ulten,Italy,hotel,unterpichl.it,+43 676 3621179,https://unterpichl.it,info@unterpichl.it,,https://www.instagram.com/hotel.unterpichl/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-032.jsonl,5,atp:5f7a9f2aaa91d488b954778f,Hotel Vierbrunnenhof,39030,Italy,hotel,vierbrunnenhof.com,+43 676 3621179,https://vierbrunnenhof.com,info@vierbrunnenhof.com,,https://www.instagram.com/vierbrunnenhof/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-032.jsonl,6,atp:15c294af75f6909c8f1c23f6,Wanderhotel Vinschgerhof,Vetzan-Schlanders,Italy,hotel,vinschgerhof.com,+43 676 3621179,https://vinschgerhof.com,rezeption@vinschgerhof.com,,,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-032.jsonl,7,atp:e5fe8c933f9861115ea6f59c,Vital-Hotel Post,Dienten am Hochkönig,Austria,hotel,vitalhotelpost.at,+43 676 3621179,https://vitalhotelpost.at,dienten@vitalhotelpost.at,,https://www.instagram.com/vitalhotelpost/,,,,A,MEDIUM,canonical_delta
delta-github-run-31858542247-032.jsonl,8,overture:9108d54b-86e2-4c27-bbc6-51d54fadd406,VOCE Hotel & Residences,Nashville,USA,hotel,vocehotelandresidences.com,+16152355546,http://vocehotelandresidences.com/,info@vocehotelandresidences.com,,https://www.instagram.com/vocehotelandresidences/,,,,B,HIGH,canonical_delta
delta-github-run-31858542247-032.jsonl,9,atp:13024395b66a481c6211bb24,Wanderhotel Kirchner,Bramberg,Austria,hotel,wanderhotel.at,+43 676 3621179,https://wanderhotel.at,info@wanderhotel.at,,https://www.instagram.com/wanderhotel_kirchner/,,,,A,HIGH,canonical_delta
delta-github-run-31858542247-032.jsonl,10,atp:4c1c941df968c12e63a7b63a,Der Wöscherhof,Uderns im Zillertal,Austria,hotel,woescherhof.com,+43 676 3621179,https://woescherhof.com,office@woescherhof.com,,https://www.instagram.com/hotelwoescherhof/,,,,A,MEDIUM,canonical_delta
delta-github-run-31861026561-001.jsonl,1,overture:962e1ed1-3499-4467-ad15-ded1f7838453,3 Soles Vacation Rentals,Aguada,Puerto Rico,lodging,3-soles.com,,http://3-soles.com/,info@3-soles.com,,https://www.instagram.com/3solespr/,,,,A,HIGH,canonical_delta
delta-github-run-31861026561-001.jsonl,2,overture:74e21a00-54a2-4853-a587-dd1bb5ada72a,Villavicencio Real Estate and Property Management,Dorado,Puerto Rico,real_estate_service,about.me,+17875096445,https://about.me/carolriverapropertymanager,villavicenciorealty@gmail.com,,https://www.instagram.com/carolriverapropertymanager/,,,,A,MEDIUM,canonical_delta
delta-github-run-31861026561-001.jsonl,3,overture:d094102b-eb67-42bb-931f-c06372ee0280,Aruba Island Vacation Rental,Oranjestad,Aruba,holiday_rental_home,arubaivr.com,+2975864666,http://www.arubaivr.com/,info@arubaivr.com,,https://www.instagram.com/arubaivr/,,,,A,HIGH,canonical_delta
delta-github-run-31861026561-001.jsonl,4,overture:582a8468-4ec2-44cb-babe-159780ad37e2,Bubali Villas Aruba,Oranjestad,Aruba,hotel,arubavacationhouses.com,+2976611200,http://arubavacationhouses.com/,info@arubavacationhouses.com,,https://www.instagram.com/arubavacationhouses/,,,,B,HIGH,canonical_delta
