Dedupe Key	Normalized Phone	Domain	Normalized Name	Market	Country	Business / Property	Source Rank
domain:texaslandandproperty.com	15129650879	texaslandandproperty.com	texas land property management	Shiner	USA	Texas Land & Property Management	6513
domain:texaslonestarpropertymanagement.com	18328331032	texaslonestarpropertymanagement.com	texas lone star property management	Houston	USA	Texas Lone Star Property Management	6514
domain:texasrenters.com	12814073818	texasrenters.com	houston property management	Houston	USA	Houston Property Management	6515
domain:tgnpropertymanagement.com	13106232704	tgnpropertymanagement.com	tgn property management	Los Angeles	USA	TGN Property Management	6516
domain:theagencyrepm.com	19155937218	theagencyrepm.com	the agency real estate and property management	El Paso	USA	The Agency Real Estate and Property Management	6517
domain:theaxfords.com	17783550116	theaxfords.com	axford real estate and property management	Port Moody	Canada	Axford Real Estate and Property Management	6518
domain:thebchomes.com	18664558555	thebchomes.com	mozz homes property management group	Dallas	USA	MOZZ HOMES Property Management Group	6519
domain:thedanielscompanies.com	16194411115	thedanielscompanies.com	daniels property management	La Mesa	USA	Daniels Property Management	6520
domain:thedesertlily.com	17602497739	thedesertlily.com	the desert lily vacation home	Joshua Tree	USA	The Desert Lily Vacation Home	6521
domain:theheavenlyviews.com	12817328800	theheavenlyviews.com	heavenly views beach rentals	Surfside Beach	USA	Heavenly Views Beach Rentals	6522
domain:thelabradagroup.com	19099813500	thelabradagroup.com	the labrada group property management and real estate services	Upland	USA	The LaBrada Group Property Management and Real Estate Services	6523
domain:themaxrealty.com	16042273399	themaxrealty.com	sutton max realty and property management	Burnaby	Canada	Sutton Max Realty and Property Management	6524
domain:thepickfordhouse.com	18052865824	thepickfordhouse.com	the pickford house	Cambria	USA	The Pickford House	6525
domain:tidalloans.com	18329304663	tidalloans.com	tidal property management	Houston	USA	Tidal Property Management	6526
domain:tkgpm.com	17145984818	tkgpm.com	tkg property management	Anaheim	USA	TKG Property Management	6527
domain:touchstonepm.com	12144380996	touchstonepm.com	touchstone property management	Addison	USA	Touchstone Property Management	6528
domain:towerpm.org	18057400023	towerpm.org	tower property management	Lompoc	USA	Tower Property Management	6529
domain:towerprops.com	15125353700	towerprops.com	tower property management	Austin	USA	Tower Property Management	6530
domain:tpgpropmanagement.com	19727716970	tpgpropmanagement.com	royal property management	Rockwall	USA	Royal Property Management	6531
domain:tpmmanagement.ca	16047368775	tpmmanagement.ca	terra property management	Vancouver	Canada	Terra Property Management	6532
domain:trafalgarmgmt.com	16046770378	trafalgarmgmt.com	trafalgar management ltd	Vancouver	Canada	Trafalgar Management Ltd.	6533
domain:trailsidecabinrentals.ca	12502950812	trailsidecabinrentals.ca	trailside cabin rentals	Okanagan-Similkameen	Canada	Trailside Cabin Rentals	6534
domain:treasurepropertymanagement.com	17148090734	treasurepropertymanagement.com	treasure property management	Anaheim	USA	Treasure Property Management	6535
domain:tricitypm.com	12545267100	tricitypm.com	tri city property management	Harker Heights	USA	Tri-City Property Management	6536
domain:troylibby.com	14062957391	troylibby.com	mnm property management	Troy	Canada	MNM Property Management	6537
domain:truedfw.com	18174150706	truedfw.com	true guard property management	Fort Worth	USA	True Guard Property Management	6538
domain:trumanrealestate.com	14064078256	trumanrealestate.com	truman property management	Kalispell	Canada	Truman Property Management	6539
domain:trustpm.com	15125822445	trustpm.com	trustmark property management	Georgetown	USA	Trustmark Property Management	6540
domain:tsgindependent.com	19494810555	tsgindependent.com	tsg independent property management	San Juan Capistrano	USA	TSG Independent Property Management	6541
domain:tuckerpm.com	13615503937	tuckerpm.com	tucker property management	Victoria	USA	Tucker Property Management	6542
domain:turn-keymgmt.com	18052390795	turn-keymgmt.com	turn key property management	Paso Robles	USA	Turn-Key Property Management	6543
domain:twobeaches.ca	12505223002	twobeaches.ca	two beaches boutique suites	Ucluelet	Canada	Two Beaches Boutique Suites	6544
domain:twothumbsuppropmgmt.com	12142679713	twothumbsuppropmgmt.com	two thumbs up property management	Lewisville	USA	Two Thumbs Up Property Management	6545
domain:txhomesrealty.com	12812389112	txhomesrealty.com	asc realty property management	Rosenberg	USA	ASC Realty Property Management	6546
domain:tyax.com	12502382221	tyax.com	tyax heliskiing	Gold Bridge	Canada	Tyax Heliskiing	6547
domain:tycoproperties.com	16194251017	tycoproperties.com	tyco property management company	Chula Vista	USA	Tyco Property Management Company	6548
domain:ultimateproperty.ca	4032873056	ultimateproperty.ca	ultimate property management inc	Calgary	Canada	Ultimate Property Management Inc	6549
domain:unicrealty.com	13108773025	unicrealty.com	unic realty property management	Beverly Hills	USA	Unic Realty Property Management	6550
domain:united-pm.com	19097962897	united-pm.com	united property management	Loma Linda	USA	United Property Management	6551
domain:upliftpm.com	18584497294	upliftpm.com	uplift property management	San Diego	USA	Uplift Property Management	6552
domain:uprealtyca.com	19492292292	uprealtyca.com	up property management	Irvine	USA	Up Property Management	6553
domain:utopiamanagement.com	14083421111	utopiamanagement.com	santa cruz property management utopia	Santa Cruz	USA	Santa Cruz Property Management-Utopia	6554
domain:vacationrentalsinla.net	14242742447	vacationrentalsinla.net	sterling vacation rentals	Los Angeles	USA	Sterling Vacation Rentals	6555
domain:valleyskihill.ca	17808792106	valleyskihill.ca	valley ski club	Alliance	Canada	Valley Ski Club	6556
domain:valorpropmgmt.com	16197712600	valorpropmgmt.com	valor property management	San Diego	USA	Valor Property Management	6557
domain:vantage-pm.com	16616646400	vantage-pm.com	vantage property management	Bakersfield	USA	Vantage Property Management	6558
domain:vbvmanagement.ca	17806179990	vbvmanagement.ca	vbv property management	Peace River	Canada	VBV Property Management	6559
domain:vchousehunter.com	18055041810	vchousehunter.com	vc house hunter property management	Camarillo	USA	VC House Hunter Property Management	6560
domain:velkpmg.com	16264458355	velkpmg.com	velk property management group	Arcadia	USA	VELK Property Management Group	6561
domain:venturarealtyandhomes.com	18057943603	venturarealtyandhomes.com	ventura realty and homes property management	Ventura	USA	Ventura Realty and Homes Property Management	6562
domain:venturepropertyinc.com	19093081177	venturepropertyinc.com	venture property management	Rancho Cucamonga	USA	Venture Property Management	6563
domain:verticalhorizonsd.com	16198473100	verticalhorizonsd.com	vertical horizon real estate property management	San Diego	USA	Vertical Horizon Real Estate & Property Management	6564
domain:vestar.com	6192239400	vestar.com	vestar property management	San Diego	USA	Vestar Property Management	6565
domain:vgspropertymanagement.com	17145845019	vgspropertymanagement.com	vgs property management	Montebello	USA	VGS Property Management	6566
domain:villabluepa.com	19703798921	villabluepa.com	villa blue vacation rental	Port Aransas	USA	Villa Blue - Vacation Rental	6567
domain:villasanluisboutique.com	523330728751	villasanluisboutique.com	villa san luis boutique	Tuxcueca	USA	Villa San Luis Boutique	6568
domain:villasranchovalencia.com	18669966442	villasranchovalencia.com	the villas at rancho valencia	Rancho Santa Fe	USA	The Villas at Rancho Valencia	6569
domain:vippropertyinc.com	17602409535	vippropertyinc.com	valley insured property management	Hesperia	USA	Valley Insured Property Management	6570
domain:viridismgmt.com	16614106557	viridismgmt.com	viridis property management	Bakersfield	USA	Viridis Property Management	6571
domain:vistapropertyie.com	19096970823	vistapropertyie.com	vista property management inc	Rancho Cucamonga	USA	Vista Property Management Inc.	6572
domain:vivela.com	13105668700	vivela.com	westhome property management	Los Angeles	USA	Westhome Property Management	6573
domain:vpmhomes.com	17607402310	vpmhomes.com	village property management	Bonsall	USA	Village Property Management	6574
domain:vpmrents.com	17603254477	vpmrents.com	village property management	Palm Springs	USA	Village Property Management	6575
domain:vppropertymgmt.com	17147156145	vppropertymgmt.com	avenue property management	Cypress	USA	Avenue Property Management	6576
domain:vrporta.com	12103133746	vrporta.com	bird in paradise at pelican s roost port aransas	Port Aransas	USA	Bird in Paradise at Pelican's Roost Port Aransas	6577
domain:walkerrentals.net	18059379900	walkerrentals.net	walker associates property management	Santa Maria	USA	Walker & Associates Property Management	6578
domain:wapitiskiclub.com	12508652020	wapitiskiclub.com	wapiti ski club	Elkford	Canada	Wapiti Ski Club	6579
domain:wellspringpm.com	17603714282	wellspringpm.com	wellspring property management	Ridgecrest	USA	Wellspring Property Management	6580
domain:wemanage.us	15627192350	wemanage.us	we manage property management	Long Beach	USA	We Manage Property Management	6581
domain:wemanageproperties.com	13232952000	wemanageproperties.com	property management associates	Culver City	USA	Property Management Associates	6582
domain:wesellcalgaryhomes.ca	14038051203	wesellcalgaryhomes.ca	sarah loney real estate and property management	Calgary	Canada	Sarah Loney Real Estate and Property Management	6583
domain:westhoustonpm.com	12817705291	westhoustonpm.com	west houston property management	Houston	USA	West Houston Property Management	6584
domain:westpointproperty.com	17145013783	westpointproperty.com	west point property management	Huntington Beach	USA	West Point Property Management	6585
domain:weststarproperty.com	13103521143	weststarproperty.com	weststar property management	Los Angeles	USA	WestStar Property Management	6586
domain:wheelersteffen.com	19096215941	wheelersteffen.com	wheeler steffen property management	Claremont	USA	Wheeler Steffen Property Management	6587
domain:whitefishpropertymanagement.com	14068634651	whitefishpropertymanagement.com	whitefish property management	Whitefish	Canada	Whitefish Property Management	6588
domain:whiteglovepropertymanagement.com	12145060683	whiteglovepropertymanagement.com	white glove property management	Dallas	USA	White Glove Property Management	6589
domain:whittingtonpm.com	16196673050	whittingtonpm.com	whittington property management	La Mesa	USA	Whittington Property Management	6590
domain:whpm.ca	14033190701	whpm.ca	westhawk property management	Calgary	Canada	Westhawk Property Management	6591
domain:wigglebuttsranch.com	12107258508	wigglebuttsranch.com	wiggle butts ranch vacation rental	Fischer	USA	Wiggle Butts Ranch Vacation Rental	6592
domain:williamslakecrosscountryskiclub.ca	12505445228	williamslakecrosscountryskiclub.ca	williams lake cross country ski club	Area D (Commodore Heights/McLeese Lake)	Canada	Williams Lake Cross Country Ski Club	6593
