Rank	Priority	Opportunity Score	Market	Country	Business / Property	Lead Type	Category	Address	Public Business Phone	Shared Phone Count	Rating	Reviews	Portfolio Potential	Suggested First Pitch	Maps Lookup	Enrichment Search	Source Ref	Harvested	Status	Notes	Official Website	Public Email	Contact Page	Instagram	Facebook	WhatsApp	Portfolio / Listing URL	Resolved Operator / Parent	Portfolio Signal	Primary Outreach Route	Enrichment Confidence	Enrichment Status	Enrichment Source URLs	Enrichment Notes	Column 36
6513	B	78	Shiner	USA	Texas Land & Property Management		real_estate_service	916 N Avenue E, Shiner, TX	15129650879	1			High				overture:ebcf29a5-512a-4edf-b352-89dbeb9e4701	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.texaslandandproperty.com/	lisamariebroker@texaslandandproperty.com		https://www.instagram.com/lisamarietexasrealestatebroker/							Medium	Recall-first	https://explore.overturemaps.org/#id=ebcf29a5-512a-4edf-b352-89dbeb9e4701		
6514	B	78	Houston	USA	Texas Lone Star Property Management		property_management	5295 Hollister St, Houston, TX	18328331032	1			High				overture:56eed811-bdab-432a-bc14-3ca3febf6f6e	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://Texaslonestarpropertymanagement.com/	info@texaslonestarpropertymanagement.com									Medium	Recall-first	https://explore.overturemaps.org/#id=56eed811-bdab-432a-bc14-3ca3febf6f6e		
6515	B	78	Houston	USA	Houston Property Management		property_management	7155 Old Katy Rd, Ste N285, Houston, TX	12814073818	1			High				overture:f40a31d5-2211-498a-8402-b7a63ec81dc8	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.texasrenters.com/	texasrenter@gmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=f40a31d5-2211-498a-8402-b7a63ec81dc8		
6516	B	78	Los Angeles	USA	TGN Property Management		property_management	208 N Coronado St, Los Angeles, CA	13106232704	1			High				overture:a070ab7d-5046-4408-beaf-cd19f2bcd315	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.tgnpropertymanagement.com	tgnpropertymanagement@outlook.com		https://www.instagram.com/tgn_property_management/							Medium	Recall-first	https://explore.overturemaps.org/#id=a070ab7d-5046-4408-beaf-cd19f2bcd315		
6517	B	78	El Paso	USA	The Agency Real Estate and Property Management		real_estate_service	11200 Montwood Dr, El Paso, TX	19155937218	1			High				overture:a5bdc632-d733-4673-a3f9-543cd847053d	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.theagencyrepm.com/	info@theagencyrepm.com									Medium	Recall-first	https://explore.overturemaps.org/#id=a5bdc632-d733-4673-a3f9-543cd847053d		
6518	B	78	Port Moody	Canada	Axford Real Estate and Property Management		real_estate_agent	2326 Clarke St, Port Moody, BC	17783550116	1			High				overture:30ae0ae6-c2b8-47d7-a849-a12a9e7ddb93	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.theaxfords.com/	info@theaxfords.com		https://www.instagram.com/axfordrealestate/							Medium	Recall-first	https://explore.overturemaps.org/#id=30ae0ae6-c2b8-47d7-a849-a12a9e7ddb93		
6519	B	78	Dallas	USA	MOZZ HOMES Property Management Group		property_management	12222 Merit Dr, Dallas, TX	18664558555	1			High				overture:c8971536-040e-49a7-8ba6-ac8120c1f4df	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.thebchomes.com/	roniolusanya@hotmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=c8971536-040e-49a7-8ba6-ac8120c1f4df		
6520	B	78	La Mesa	USA	Daniels Property Management		property_management	9539 Grossmont Summit Dr, La Mesa, CA	16194411115	1			High				overture:893cc725-7fa7-499a-821a-1d68f0c7a990	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.thedanielscompanies.com/	info.danielscompanies@gmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=893cc725-7fa7-499a-821a-1d68f0c7a990		
6521	A	88	Joshua Tree	USA	The Desert Lily Vacation Home		holiday_rental_home	8523 Star Ln, Joshua Tree, CA	17602497739	1			High				overture:c9e1c4b0-46e7-46d8-8957-0828be0225d0	2026-08-15	New		http://www.thedesertlily.com/	info@thedesertlily.com									High	Verified	https://explore.overturemaps.org/#id=c9e1c4b0-46e7-46d8-8957-0828be0225d0		
6522	A	88	Surfside Beach	USA	Heavenly Views Beach Rentals		holiday_rental_home	123 Carlton Rd, Surfside Beach, TX	12817328800	1			High				overture:91dcea97-242a-4ace-aee0-ef5a172fbb42	2026-08-15	New		https://theheavenlyviews.com/	masterzuhair@yahoo.com		https://www.instagram.com/heavenlyviewstx/							High	Verified	https://explore.overturemaps.org/#id=91dcea97-242a-4ace-aee0-ef5a172fbb42		
6523	B	78	Upland	USA	The LaBrada Group Property Management and Real Estate Services		property_management	255 W Foothill Blvd, Upland, CA	19099813500	1			High				overture:9abf0797-d121-4969-b7ca-f6b6baf14505	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.thelabradagroup.com/	info@thelabradagroup.com		https://www.instagram.com/thelabradagroup/							Medium	Recall-first	https://explore.overturemaps.org/#id=9abf0797-d121-4969-b7ca-f6b6baf14505		
6524	B	78	Burnaby	Canada	Sutton Max Realty and Property Management		property_management	4300 North Fraser Way, Burnaby, BC	16042273399	1			High				overture:733a64d9-ffcb-469d-9265-fdabdf7994ef	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.themaxrealty.com/	info@themaxrealty.com									Medium	Recall-first	https://explore.overturemaps.org/#id=733a64d9-ffcb-469d-9265-fdabdf7994ef		
6525	A	88	Cambria	USA	The Pickford House		bed_and_breakfast	2555 MacLeod Way, Cambria, CA	18052865824	1			High				overture:cffce107-59f6-4009-8788-c2637837017c	2026-08-15	New		http://www.thepickfordhouse.com	pickfordhouse83@gmail.com		https://www.instagram.com/pickfordhouse.cambria/							High	Verified	https://explore.overturemaps.org/#id=cffce107-59f6-4009-8788-c2637837017c		
6526	B	78	Houston	USA	Tidal Property Management		property_management	2616 S Loop W, Houston, TX	18329304663	1			High				overture:707a3e3a-288e-43b2-9c6b-4e3566101f0b	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://tidalloans.com/	info@tidalloans.com		https://www.instagram.com/tidalloans/							Medium	Recall-first	https://explore.overturemaps.org/#id=707a3e3a-288e-43b2-9c6b-4e3566101f0b		
6527	B	78	Anaheim	USA	TKG Property Management		property_management	1475 S State College Blvd, Anaheim, CA	17145984818	1			High				overture:6f22772b-0b20-4ac5-ac95-6c2fd901f809	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.tkgpm.com/	cs@tkgpm.com									Medium	Recall-first	https://explore.overturemaps.org/#id=6f22772b-0b20-4ac5-ac95-6c2fd901f809		
6528	B	78	Addison	USA	Touchstone Property Management		property_management	15455 Dallas Pkwy, Addison, TX	12144380996	1			High				overture:085f86d5-11d5-4271-bbae-d3dd099c0f21	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://touchstonepm.com/	contact@touchstonepm.com		https://www.instagram.com/touchstone_propertymanagement/							Medium	Recall-first	https://explore.overturemaps.org/#id=085f86d5-11d5-4271-bbae-d3dd099c0f21		
6529	B	78	Lompoc	USA	Tower Property Management		property_management	307 E Ocean Ave, Lompoc, CA	18057400023	1			High				overture:16b616c0-df0c-4fb2-81b8-bdf93264f256	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.towerpm.org/	towermail@gmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=16b616c0-df0c-4fb2-81b8-bdf93264f256		
