queue_file	source	overture_id	country	region	name	category	brand	website	domain	public_email	public_phone	city	state	street	confidence	operator_score	premium_score	fit_tier	source_url	notes	live_status	http_status	final_url	hospitality_hits	identity_hits	email_on_homepage	contact_page	instagram	facebook	whatsapp	portfolio_url	instagram_source_url	live_reason	_sheet_sync_kind
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	9c85d944-c8d5-487e-8d65-23381f21cac1	United Kingdom	World-Atlas::western-europe::22-35	Bullace Barn Holiday Let	cottage		http://bullacebarn.co.uk/	bullacebarn.co.uk	jane@bullacebarn.co.uk	+447887993867	Sheffield	ENG	Manchester Road	0.8156142234802246	75	0	A	https://explore.overturemaps.org/#id=9c85d944-c8d5-487e-8d65-23381f21cac1	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	HIGH	200	https://bullacebarn.co.uk/	3	3	NO							CURRENT_HOSPITALITY_IDENTITY	canonical_delta
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	ec6a3386-93bf-4843-87e6-a9a11b5f95ca	United Kingdom	World-Atlas::western-europe::22-36	Bunkers Hill Farm Self Catering Suffolk	holiday_rental_home		https://www.bunkershillfarm.com/	bunkershillfarm.com	info@bunkershillfarm.com	+447919001099	Halesworth		Bramfield	0.9207836389541626	60	0	A	https://explore.overturemaps.org/#id=ec6a3386-93bf-4843-87e6-a9a11b5f95ca	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	MEDIUM	200	https://www.bunkershillfarm.com/	1	4	NO		https://www.instagram.com/bunkershillfarmsuffolk/				https://www.bunkershillfarm.com/	CURRENT_WEAK_HOSPITALITY_IDENTITY	canonical_delta
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	93fdb5fe-78bb-491c-bf92-65e9838a7806	United Kingdom	World-Atlas::western-europe::22-35	Burgate Farmhouse	cottage	Burgate Farmhouse Self Catering Holiday Cottages	http://www.burgatefarmhouse.co.uk/	burgatefarmhouse.co.uk	burgatefarmhouse@gmail.com	+447837052645	Fordingbridge	ENG	Salisbury Rd	0.9437283873558044	72	0	A	https://explore.overturemaps.org/#id=93fdb5fe-78bb-491c-bf92-65e9838a7806	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	MEDIUM	200	https://www.burgatefarmhouse.co.uk/	1	2	YES							CURRENT_WEAK_HOSPITALITY_IDENTITY	canonical_delta
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	3ceeda65-6866-4038-9b13-57862b6f2338	United Kingdom	World-Atlas::western-europe::22-35	Burlington Property Management	property_management		http://www.burlingtonpm.com/	burlingtonpm.com	info@burlingtonpm.com	+442071000123	London	ENG	675a Fulham Road	0.5569925308227539	75	0	A	https://explore.overturemaps.org/#id=3ceeda65-6866-4038-9b13-57862b6f2338	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	PERMISSIVE	200	http://www.burlingtonpm.com/	0	1	YES		https://www.instagram.com/burlington.property.management/				http://www.burlingtonpm.com/	PLAUSIBLE_PROPERTY_MANAGER_NO_EXPLICIT_STR_PROOF	canonical_delta
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	e499bfad-1c11-44e3-a3d7-03c9a87bea44	United Kingdom	World-Atlas::western-europe::22-35	Burton House Holiday Let	holiday_rental_home	Burton House Holiday Let	http://www.burtonhouse.info/	burtonhouse.info	burtonhouse.rhb@gmail.com	+447957246665	Whitby	ENG	Burton House, Chapel Street, Robin Hood's Bay	0.7815271019935608	75	0	A	https://explore.overturemaps.org/#id=e499bfad-1c11-44e3-a3d7-03c9a87bea44	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	MEDIUM	200	https://www.burtonhouse.info/	1	3	NO		https://www.instagram.com/BurtonHouserhb/				https://www.burtonhouse.info/	CURRENT_WEAK_HOSPITALITY_IDENTITY	canonical_delta
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	cc634f5d-082f-42be-8e96-374219c2972f	Netherlands	World-Atlas::western-europe::22-36	By Friso - Hotel & Short Stay	hotel		https://www.byfriso.com/	byfriso.com	info@byfriso.com	+31702210667	Den Haag		Nieuwe Parklaan 70	0.7328205108642578	60	10	A	https://explore.overturemaps.org/#id=cc634f5d-082f-42be-8e96-374219c2972f	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	HIGH	200	https://www.byfriso.com/	3	3	YES		https://www.instagram.com/byfriso/				https://www.byfriso.com/	CURRENT_HOSPITALITY_IDENTITY	canonical_delta
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	ba0f18b2-a8b3-4d5f-bd8a-d2bc57eb925f	IM	World-Atlas::western-europe::22-35	By The Sea Self-Catering Holiday Accommodation	holiday_rental_home		http://bythesea-iom.com/	bythesea-iom.com	hello@bythesea-iom.com	+447624369683	Port St Mary		Endfield House, The Promenade	0.2599392235279083	75	0	A	https://explore.overturemaps.org/#id=ba0f18b2-a8b3-4d5f-bd8a-d2bc57eb925f	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	HIGH	200	https://www.bythesea-iom.com	2	3	YES		https://www.instagram.com/bythesea_iom/				https://www.bythesea-iom.com	CURRENT_HOSPITALITY_IDENTITY	canonical_delta
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	f8d7234e-c5b7-4fef-92d7-afe99aebe0b4	United Kingdom	World-Atlas::western-europe::22-35	Cadnam Lodge Holiday Cottages - The New Forest	cottage		http://www.cadnamlodge.co.uk/	cadnamlodge.co.uk	richard@cadnamlodge.co.uk	+442380016316	Southampton	ENG	Cadnam Lodge Estate	0.8247372114658356	75	12	A	https://explore.overturemaps.org/#id=f8d7234e-c5b7-4fef-92d7-afe99aebe0b4	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	HIGH	200	https://cadnamlodge.co.uk/	3	5	NO							CURRENT_HOSPITALITY_IDENTITY	canonical_delta
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	b394f38d-b017-4fa5-ae70-1b7ee7c7286d	United Kingdom	World-Atlas::western-europe::22-35	Anglesey Holiday Cottages	cottage		https://cae-bach.com/	cae-bach.com	booking@cae-bach.com	+447795517455	Holyhead		Llynfaes	0.8063212037086487	75	0	A	https://explore.overturemaps.org/#id=b394f38d-b017-4fa5-ae70-1b7ee7c7286d	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	HIGH	200	https://cae-bach.com/	5	3	YES		https://www.instagram.com/cae_bach/				https://cae-bach.com/	CURRENT_HOSPITALITY_IDENTITY	canonical_delta
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	ae2badb5-c11d-4bf7-9540-755dfc2de9f3	United Kingdom	World-Atlas::western-europe::22-35	Cae'r Beili - Luxury Self Catering Accommodation	holiday_rental_home		http://www.caerbeili.cymru/	caerbeili.cymru	penyfedw@gmail.com	+441550720622	Llandovery		Cil-y-cwm	0.6401519179344177	60	12	A	https://explore.overturemaps.org/#id=ae2badb5-c11d-4bf7-9540-755dfc2de9f3	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	PERMISSIVE	200	https://caerbeili.cymru/	0	3	NO		https://www.instagram.com/caerbeili/				https://caerbeili.cymru/	REACHABLE_CHEAP_SCREEN_HOSPITALITY_CANDIDATE	canonical_delta
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	0752d69b-d4c7-4ddd-a3a8-8411295d9ba7	IM	World-Atlas::western-europe::22-35	Cammall Farm Holiday Cottages	cottage		http://www.cammallfarm.co.uk/	cammallfarm.co.uk	info@cammallfarm.co.uk		Kirk Michael		Cammall Farm	0.9219217300415039	75	0	A	https://explore.overturemaps.org/#id=0752d69b-d4c7-4ddd-a3a8-8411295d9ba7	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	MEDIUM	200	http://www.cammallfarm.co.uk/	1	4	NO							CURRENT_WEAK_HOSPITALITY_IDENTITY	canonical_delta
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	d03c572e-8036-4822-9721-90abe24658d1	Belgium	World-Atlas::western-europe::22-36	CAP Holiday Rentals	travel_service		http://www.cap.be/	cap.be	info@cap.be	+3293623142	Gent		Bennesteeg 7	0.6984664797782898	87	0	A	https://explore.overturemaps.org/#id=d03c572e-8036-4822-9721-90abe24658d1	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	MEDIUM	200	https://cap.be/nl	1	0	NO		https://www.instagram.com/cap.be/				https://cap.be/nl	CURRENT_WEAK_HOSPITALITY_IDENTITY	canonical_delta
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	f31203d7-b782-4219-bbea-0382969bd706	United Kingdom	World-Atlas::western-europe::22-35	Caplor Glamping & Lodges	hotel		http://www.caplorglamping.com/	caplorglamping.com	caplorglamping@gmail.com	+447702615013	Hereford		Caplor Farm	0.9961066842079163	0	34	B	https://explore.overturemaps.org/#id=f31203d7-b782-4219-bbea-0382969bd706	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	HIGH	200	https://www.caplorglamping.com/	3	3	YES		https://www.instagram.com/caplorglampingpods/				https://www.caplorglamping.com/	CURRENT_HOSPITALITY_IDENTITY	canonical_delta
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	db8ba965-cf9a-4a2b-9fe6-d8c864fc9b12	United Kingdom	World-Atlas::western-europe::22-35	Brongwyn Cottages	cottage	Brongwyn Holiday Cottages	http://www.cardiganholidays.co.uk	cardiganholidays.co.uk	enquiries@cardiganholidays.co.uk	+447968227826	Y Ferwig		Brongwyn Mawr	0.9982443762719632	60	0	A	https://explore.overturemaps.org/#id=db8ba965-cf9a-4a2b-9fe6-d8c864fc9b12	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	MEDIUM	200	https://cardiganholidays.co.uk/	1	2	NO							CURRENT_WEAK_HOSPITALITY_IDENTITY	canonical_delta
delta-github-run-31863169781-020.jsonl	Overture Places V6 fast-lane	9db7d09b-f634-4e48-8f7f-e58b24fd3112	United Kingdom	World-Atlas::western-europe::22-35	Cardwen Farm Holiday Cottages	cottage		http://www.cardwenfarm.com/	cardwenfarm.com	info@cardwenfarm.com	+447827763298	West Looe		Pelynt	0.9822386354207993	75	0	A	https://explore.overturemaps.org/#id=9db7d09b-f634-4e48-8f7f-e58b24fd3112	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.	HIGH	200	https://www.cardwenfarm.com/	2	4	YES							CURRENT_HOSPITALITY_IDENTITY	canonical_delta
