8168	B	70	Rifle	USA	ERA New Age Real Estate and Property Management		real_estate_service	900 Airport Rd, Rifle, CO	+19709459060	1			High				overture:23cfb1cb-fd5f-450f-beaf-62604e1467c0	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.newagere.com/	info@newagere.com									Email	Medium	Recall-first	https://explore.overturemaps.org/#id=23cfb1cb-fd5f-450f-beaf-62604e1467c0		domain:newagere.com	19709459060	newagere.com	era new age real estate and property management	Rifle	USA	ERA New Age Real Estate and Property Management	8168
8169	B	70	Chicago	USA	New City Property Management		property_management	7100 S South Shore Dr, Chicago, IL	+13122852426	1			High				overture:8e0aea58-139d-485f-8f89-200484bd6a14	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.newcitypropmngt.com/	leasing@newcitypropmngt.com		https://www.instagram.com/newcity_propertymanagement/							Email	Medium	Recall-first	https://explore.overturemaps.org/#id=8e0aea58-139d-485f-8f89-200484bd6a14		domain:newcitypropmngt.com	13122852426	newcitypropmngt.com	new city property management	Chicago	USA	New City Property Management	8169
8170	B	70	Tucson	USA	New Concept Property Management		property_management	7650 E Broadway Blvd, Tucson, AZ	+15205517247	1			High				overture:60c1338c-d550-47cf-a571-ad455f5bde75	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.newconceptproperties.com/	dino@newconceptproperties.com									Email	Medium	Recall-first	https://explore.overturemaps.org/#id=60c1338c-d550-47cf-a571-ad455f5bde75		domain:newconceptproperties.com	15205517247	newconceptproperties.com	new concept property management	Tucson	USA	New Concept Property Management	8170
8171	A	91	Παρέλια	Greece	New Era Holiday Homes & Management		property_management	Glyfada, Παρέλια	+306978850223	1			High				overture:9662b277-f4c6-40eb-8de8-b97517680ac7	2026-08-15	New		http://neweraholidayhomes.com/	neweraglyfada@gmail.com		https://www.instagram.com/new_era_holiday/							Email	High	Verified	https://explore.overturemaps.org/#id=9662b277-f4c6-40eb-8de8-b97517680ac7		domain:neweraholidayhomes.com	306978850223	neweraholidayhomes.com	new era holiday homes management	Παρέλια	Greece	New Era Holiday Homes & Management	8171
8172	B	70	Marshall	USA	New Horizon Property Management		property_management	13947 W Michigan Ave, Marshall, MI	+12695588122	1			High				overture:17377b24-c7fa-4c17-b877-fe8f4abd3112	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://newhorizonmi.com/	info@newhorizonmi.com									Email	Medium	Recall-first	https://explore.overturemaps.org/#id=17377b24-c7fa-4c17-b877-fe8f4abd3112		domain:newhorizonmi.com	12695588122	newhorizonmi.com	new horizon property management	Marshall	USA	New Horizon Property Management	8172
8173	B	70	Greenville	USA	NewShire Property Management		property_management	333 Wade Hampton Blvd, Greenville, SC	+18646865312	1			High				overture:4b297e9f-ba81-4785-a5f5-f9197c787a40	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.newshirepm.com/	info@newshirepm.com									Email	Medium	Recall-first	https://explore.overturemaps.org/#id=4b297e9f-ba81-4785-a5f5-f9197c787a40		domain:newshirepm.com	18646865312	newshirepm.com	newshire property management	Greenville	USA	NewShire Property Management	8173
8174	B	70	Madera	USA	Newton Property Management		property_management	420 W Yosemite Ave, Madera, CA	+15596737576	1			High				overture:9b2e186a-4a79-42df-a83d-f1253279afd4	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://newtonpropertymanagementinc.net/	newtonproperty4u@aol.com									Email	Medium	Recall-first	https://explore.overturemaps.org/#id=9b2e186a-4a79-42df-a83d-f1253279afd4		domain:newtonpropertymanagementinc.net	15596737576	newtonpropertymanagementinc.net	newton property management	Madera	USA	Newton Property Management	8174
8175	A	88	Muravera	Italy	New Villa Rental		real_estate_service	Via Marco Polo, 6, Muravera, 88	+393397275141	1			High				overture:b9b490fc-00bc-440b-98a6-9321f062f7ed	2026-08-15	New		http://www.newvillarental.com/	info@newvillarental.com									Email	High	Verified	https://explore.overturemaps.org/#id=b9b490fc-00bc-440b-98a6-9321f062f7ed		domain:newvillarental.com	393397275141	newvillarental.com	new villa rental	Muravera	Italy	New Villa Rental	8175
8176	B	70	Leek	United Kingdom	Nexgen Property Management Ltd		property_management	30 Ashbourne Road, Leek, ENG	+441782901247	1			High				overture:a864acfb-b1c6-49e1-add2-6636dfe2b436	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.nexgenstoke.com/	nexgenpropertysolutions@outlook.com									Email	Medium	Recall-first	https://explore.overturemaps.org/#id=a864acfb-b1c6-49e1-add2-6636dfe2b436		domain:nexgenstoke.com	441782901247	nexgenstoke.com	nexgen property management ltd	Leek	United Kingdom	Nexgen Property Management Ltd	8176
8177	B	70	New Baltimore	USA	Next Level Property Management		property_management	35543 23 Mile Rd, New Baltimore, MI	+15868428951	1			High				overture:18e44b7f-464c-42af-8d21-01a4174ec1b4	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://nextlevelpm.net/	andrea@nextlevelpm.net									Email	Medium	Recall-first	https://explore.overturemaps.org/#id=18e44b7f-464c-42af-8d21-01a4174ec1b4		domain:nextlevelpm.net	15868428951	nextlevelpm.net	next level property management	New Baltimore	USA	Next Level Property Management	8177
8178	B	70	Farmington Hills	USA	NHL Property Management		property_management	30500 Northwestern Hwy, Farmington Hills, MI	+12484155514	1			High				overture:b2c52a2d-2600-417f-8029-a83c2b5444b4	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://nhlpropertymanagement.com/	info@nhlpropertymanagement.com		https://www.instagram.com/nhlpropertymanagement/							Email	Medium	Recall-first	https://explore.overturemaps.org/#id=b2c52a2d-2600-417f-8029-a83c2b5444b4		domain:nhlpropertymanagement.com	12484155514	nhlpropertymanagement.com	nhl property management	Farmington Hills	USA	NHL Property Management	8178
8179	B	70	Mequon	USA	Niets Property Management		property_management	11520 N Port Washington Rd Ste 103, Mequon, WI	(262) 241-5544	1			High				overture:a0090016-252c-4bff-93ab-f3971ff0fbdb	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.nietspm.com	bstein@nietspm.com									Email	Medium	Recall-first	https://explore.overturemaps.org/#id=a0090016-252c-4bff-93ab-f3971ff0fbdb		domain:nietspm.com	2622415544	nietspm.com	niets property management	Mequon	USA	Niets Property Management	8179
