chunk,line,pre,reject_reason,name,market,country,norm_name,domain,phone,category,address,website,email,contact_page,instagram,facebook,whatsapp,portfolio,source_ref,source_url,fit,live,ambiguous
delta-github-run-31861026561-019.jsonl,1,ACCEPT,,Villa Murano,Marathon,USA,villa murano,villamurano.com,13145030101,resort,"2801 Sombrero Blvd, Marathon, FL",http://villamurano.com/,contact@villamurano.com,,,,,,overture:f550be19-1e32-4d26-8d5e-eb94b2f1f885,https://explore.overturemaps.org/#id=f550be19-1e32-4d26-8d5e-eb94b2f1f885,B,HIGH,0
delta-github-run-31861026561-019.jsonl,2,ACCEPT,,Villa On The Bay,San Diego,USA,villa on the bay,villaonthebay.com,18586051497,holiday_rental_home,"3958 Bayside Walk, San Diego, CA",http://villaonthebay.com/,info@villaonthebay.com,,,,,,overture:9d9ae6a8-2957-41ea-b6df-f7dea7d33713,https://explore.overturemaps.org/#id=9d9ae6a8-2957-41ea-b6df-f7dea7d33713,A,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,3,ACCEPT,,Villas Del Amor,Ensenada,Mexico,villas del amor,villasdelamor.com,526462759631,hotel,"Carretera Tecate - Ensenada km 83.5 No. 28, San Antonio de las Minas, Ensenada",https://villasdelamor.com/,villasdelamorvdg@gmail.com,,,,,,overture:d20704b5-f8bb-4aa2-bee4-04fabeb51462,https://explore.overturemaps.org/#id=d20704b5-f8bb-4aa2-bee4-04fabeb51462,B,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,4,ACCEPT,,Villas de Palermo Hotel and Resort,San Juan del Sur,Nicaragua,villas de palermo hotel and resort,villasdepalermo.com,50588388160,beach_resort,"KM 139 Carreterra San Juan del Sur, San Juan del Sur",http://www.villasdepalermo.com/,info@villasdepalermo.com,,,,,,overture:91f64993-dcaa-480d-8b56-e3f2dca65db4,https://explore.overturemaps.org/#id=91f64993-dcaa-480d-8b56-e3f2dca65db4,A,HIGH,0
delta-github-run-31861026561-019.jsonl,5,ACCEPT,,Villa Simul Hotel Boutique,Ensenada,Mexico,villa simul hotel boutique,villasimul.com,526462895625,hotel,"X8XH+HF, 22766 Francisco Zarco, Ensenada",https://www.villasimul.com/,info.reservas@villasimul.com,,,,,,overture:0873ca45-60b4-44af-98a9-6d0995c8fd19,https://explore.overturemaps.org/#id=0873ca45-60b4-44af-98a9-6d0995c8fd19,B,HIGH,0
delta-github-run-31861026561-019.jsonl,6,ACCEPT,,Villas Kalei,World-Atlas::usa-mexico-caribbean-premium::14-18,Costa Rica,villas kalei,villaskalei.com,50684911645,hotel,"Del Restaurante Cafe del Pueblo 200 metros Norte Playa Grande, Guanacaste 50308 Costa Rica\n",http://www.villaskalei.com/,welcome@villaskalei.com,,https://www.instagram.com/villaskalei/,,,,overture:ee9ca396-0677-4d9f-af29-fc11adb22b87,https://explore.overturemaps.org/#id=ee9ca396-0677-4d9f-af29-fc11adb22b87,B,HIGH,0
delta-github-run-31861026561-019.jsonl,7,ACCEPT,,Hostal Villas Mèxico,San Juan del Sur,Nicaragua,hostal villas mexico,villasmexicohostal.com,50557998657,hotel,"Playa Marsella, San Juan del Sur",http://www.villasmexicohostal.com/,hostalvillasmexico@gmail.com,,,,,,overture:e3953b39-66ae-4d9b-86df-b7c841851202,https://explore.overturemaps.org/#id=e3953b39-66ae-4d9b-86df-b7c841851202,B,HIGH,0
delta-github-run-31861026561-019.jsonl,8,ACCEPT,,Hotel Villas Playa Hermosa,Sardinal,Costa Rica,hotel villas playa hermosa,villasplayahermosa.com,50626721239,hotel,"De la Primera entrada a Playa hermosa 150 metros oeste, Sardinal",http://www.villasplayahermosa.com/,info@villasplayahermosa.com,,,,,,overture:462c0caf-2509-450d-b4c2-a12668a762f8,https://explore.overturemaps.org/#id=462c0caf-2509-450d-b4c2-a12668a762f8,B,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,9,ACCEPT,,Villas Sol,Sardinal,Costa Rica,villas sol,villassol.com,50640016462,hotel,"Playa Hermosa, Sardinal, Carrillo, Guanacaste, Sardinal",http://www.villassol.com/,reservaciones@villassol.com,,,,,,overture:51542e79-bf11-47d6-94bb-557504dadb8a,https://explore.overturemaps.org/#id=51542e79-bf11-47d6-94bb-557504dadb8a,B,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,10,ACCEPT,,Villas Stenai,Tamarindo,Costa Rica,villas stenai,villasstenaicr.com,50688179635,hotel,"Villa real, Tamarindo",https://www.villasstenaicr.com/,stenaivillas@gmail.com,,https://www.instagram.com/villas_stenai_/,,,,overture:f4fe01f5-60ac-4d38-b87e-025694dfa84e,https://explore.overturemaps.org/#id=f4fe01f5-60ac-4d38-b87e-025694dfa84e,B,HIGH,0
delta-github-run-31861026561-019.jsonl,11,ACCEPT,,Villa Teresa Residences,Oklahoma City,USA,villa teresa residences,villateresaokc.com,14052250186,lodging,"1301 N Hudson Ave, Oklahoma City, OK",https://www.villateresaokc.com/,info@villateresaokc.com,,,,,,overture:bb0ecce1-7176-448c-b6a9-e5116d8d0265,https://explore.overturemaps.org/#id=bb0ecce1-7176-448c-b6a9-e5116d8d0265,B,MEDIUM,0
delta-github-run-31861026561-019.jsonl,12,ACCEPT,,Villas VDG,Municipio de Ensenada,Mexico,villas vdg,villavictoriavg.com,526461171718,lodge,Municipio de Ensenada,http://villavictoriavg.com/,estela@villavictoriavg.com,,https://www.instagram.com/villavictoriavg/,,,,overture:e8effe7f-c960-4a84-a335-abdb5de12c51,https://explore.overturemaps.org/#id=e8effe7f-c960-4a84-a335-abdb5de12c51,B,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,13,ACCEPT,,Viper Property Management,Hemet,USA,viper property management,viperproperties.com,19513649004,property_management,"140 E Stetson Ave, Hemet, CA",http://www.viperproperties.com/,vipereandl@gmail.com,,,,,,overture:89f43808-211c-438e-9d6a-511841990d9b,https://explore.overturemaps.org/#id=89f43808-211c-438e-9d6a-511841990d9b,A,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,14,ACCEPT,,Allstar Lodging Vacation Cabin Rentals,Luray,USA,allstar lodging vacation cabin rentals,virginiacabinrentals.com,15408430606,holiday_rental_home,"803 E Main St, Luray, VA",http://www.virginiacabinrentals.com,allstarlodging@hotmail.com,,,,,,overture:7c7c7f85-d01f-4c7b-bf49-c67a813cc015,https://explore.overturemaps.org/#id=7c7c7f85-d01f-4c7b-bf49-c67a813cc015,A,HIGH,0
delta-github-run-31861026561-019.jsonl,15,ACCEPT,,Visten Property Management,Dover,USA,visten property management,vistenpm.com,13022419260,property_management,"110 Logan Dr, Dover, DE",http://vistenpm.com/,vistenpm3@gmail.com,,,,,,overture:5b89f8f8-a50b-48ee-b6fc-4e284471e416,https://explore.overturemaps.org/#id=5b89f8f8-a50b-48ee-b6fc-4e284471e416,A,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,16,ACCEPT,,Property Management and Tenant Representation,Williamsburg,USA,property management and tenant representation,voncannonrealestate.com,17572884685,property_management,"4071 Ironbound Rd, Williamsburg, VA",http://www.voncannonrealestate.com/,voncannonrealestate@gmail.com,,,,,,overture:4dd93bbc-74e3-41b1-9554-36e480021cd1,https://explore.overturemaps.org/#id=4dd93bbc-74e3-41b1-9554-36e480021cd1,A,PERMISSIVE,1
